model,group,samples,sample_share,errors,error_rate,forward_errors,reverse_errors,forward_rate,forward_share_of_all_errors,forward_share_of_all_forward,true_duel_others,forward_given_true_duel_others,true_pass,reverse_given_true_pass
original,ALL,96891.0,1.0,22634.0,0.23360270819787185,12735.666666666666,3341.3333333333335,0.13144323690194823,0.5627699798413092,1.0,34607.0,0.3680083990714788,49055.0,0.06811402167634967
original,Pass + CONTROL,38462.0,0.39696153409501395,7966.333333333333,0.20712218120049228,6168.666666666667,1048.3333333333333,0.16038340873242854,0.27259458566338873,0.4843425770435717,8772.0,0.7032223742210063,29189.0,0.0359153562415065
original,Other anchors,58429.0,0.603038465904986,14667.666666666666,0.2510340184953818,6567.0,2293.0,0.11239281863458213,0.2901753941779203,0.5156574229564282,25835.0,0.2541900522546932,19866.0,0.1154233363535689
original,Duel / CONTESTED,26790.0,0.276496269003313,5758.333333333333,0.21494338683588401,2639.6666666666665,580.6666666666666,0.0985317904690805,0.11666711889415171,0.20722952231299274,17036.0,0.1549463880410112,7048.0,0.08238743851683693
original,Foul / DEAD_BALL,1194.0,0.01232312598693377,31.0,0.02596314907872697,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0
original,Free Kick / DEAD_BALL,13.0,0.00013417138846745312,3.0,0.23076923076923075,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
original,Free Kick / CONTROL,4608.0,0.04755859677369415,1170.6666666666667,0.25405092592592593,479.3333333333333,543.0,0.10402199074074074,0.02118484755782213,0.03763495622292751,1980.0,0.2420875420875421,2557.0,0.21235823230348064
original,Free Kick / CONTESTED,913.0,0.009422959820829592,258.0,0.28258488499452356,96.0,37.0,0.10514786418400875,0.0042345010214002955,0.00754931537735709,313.0,0.30670926517571884,383.0,0.09660574412532637
original,Goalkeeper leaving line / CONTESTED,198.0,0.0020435334551196704,91.66666666666667,0.46296296296296297,23.0,44.333333333333336,0.11616161616161615,0.001013725572933149,0.0018113575998336354,73.0,0.3150684931506849,109.0,0.40672782874617736
original,Interruption / DEAD_BALL,4291.0,0.044286879070295486,163.66666666666666,0.038141847277246954,0.0,0.0,0.0,0.0,0.0,3.0,0.0,27.0,0.0
original,Offside / DEAD_BALL,253.0,0.002611181637097357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
original,Others on the ball / DEAD_BALL,6.0,6.19252562157476e-05,2.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
original,Others on the ball / CONTROL,3510.0,0.03622627488621234,1289.3333333333333,0.36733143399810064,763.6666666666666,202.66666666666666,0.21756885090218425,0.033755830170811844,0.059950728197029936,1059.0,0.7211205539817437,2214.0,0.09153869316470942
original,Others on the ball / CONTESTED,4284.0,0.04421463293804378,1687.6666666666667,0.39394646747587925,481.3333333333333,213.0,0.11235605353252413,0.02126486149789482,0.03779984133839499,1096.0,0.43917274939172746,1584.0,0.134469696969697
original,Pass / CONTROL,38462.0,0.39696153409501395,7966.333333333333,0.20712218120049228,6168.666666666667,1048.3333333333333,0.16038340873242854,0.27259458566338873,0.4843425770435717,8772.0,0.7032223742210063,29189.0,0.0359153562415065
original,Pass / CONTESTED,10626.0,0.10966962875808899,3890.0,0.3660831921701487,2002.6666666666667,661.6666666666666,0.18846853629462323,0.0884601058442993,0.15729610828793095,3809.0,0.5257722936903825,5639.0,0.11733758940710527
original,Save attempt / CONTESTED,517.0,0.005335892910590251,260.0,0.5029013539651838,81.33333333333333,4.333333333333333,0.15731785944551901,0.0035944036186071064,0.006385593619961456,123.0,0.6612466124661247,280.0,0.015476190476190477
original,Shot / DEAD_BALL,143.0,0.0014758852731419842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
original,Shot / CONTESTED,1083.0,0.011177508746942441,62.333333333333336,0.05755617112957834,0.0,6.333333333333333,0.0,0.0,0.0,343.0,0.0,21.0,0.30158730158730157
rotate,ALL,96891.0,1.0,21402.333333333332,0.22089082921358363,13171.666666666666,2640.0,0.13594313885362588,0.6155146915129991,1.0,34607.0,0.38060700628967165,49055.0,0.0538171440220161
rotate,Pass + CONTROL,38462.0,0.39696153409501395,7767.333333333333,0.20194824328774721,6258.666666666667,818.6666666666666,0.1627233806527655,0.29247187844477496,0.4751469252058316,8772.0,0.7134822921416628,29189.0,0.02804709536697614
rotate,Other anchors,58429.0,0.603038465904986,13635.0,0.23336014650259287,6913.0,1821.3333333333333,0.1183145355902035,0.3230428130682242,0.5248530747941683,25835.0,0.26758273659763887,19866.0,0.09168092889023122
rotate,Duel / CONTESTED,26790.0,0.276496269003313,5431.666666666667,0.20274978225706108,2845.0,377.3333333333333,0.10619634191862636,0.13293970313879658,0.2160461465902533,17036.0,0.16699929560929797,7048.0,0.05353764661369656
rotate,Foul / DEAD_BALL,1194.0,0.01232312598693377,29.333333333333332,0.024567280848687884,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,,4.0,0.08333333333333333
rotate,Free Kick / DEAD_BALL,13.0,0.00013417138846745312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
rotate,Free Kick / CONTROL,4608.0,0.04755859677369415,1075.0,0.23328993055555555,486.6666666666667,453.6666666666667,0.10561342592592593,0.022763717204305225,0.03688227655584254,1980.0,0.2457912457912458,2557.0,0.17742145743710078
rotate,Free Kick / CONTESTED,913.0,0.009422959820829592,226.0,0.2475355969331873,73.33333333333333,46.0,0.08032128514056225,0.003426229895447804,0.005571906744514638,313.0,0.23429179978700745,383.0,0.12010443864229765
rotate,Goalkeeper leaving line / CONTESTED,198.0,0.0020435334551196704,82.0,0.41414141414141414,42.333333333333336,20.333333333333332,0.2138047138047138,0.0019838410306441175,0.003195726434006461,73.0,0.5799086757990867,109.0,0.18654434250764526
rotate,Interruption / DEAD_BALL,4291.0,0.044286879070295486,162.66666666666666,0.03790880136720267,1.0,0.3333333333333333,0.00023304591004427873,4.6883940471102205e-05,7.600492723571833e-05,3.0,0.3333333333333333,27.0,0.012345679012345678
rotate,Offside / DEAD_BALL,253.0,0.002611181637097357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
rotate,Others on the ball / DEAD_BALL,6.0,6.19252562157476e-05,2.3333333333333335,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
rotate,Others on the ball / CONTROL,3510.0,0.03622627488621234,1233.6666666666667,0.3514719848053181,781.0,175.66666666666666,0.22250712250712248,0.036505057332320776,0.05924457090759084,1059.0,0.7374881964117092,2214.0,0.07934357121348991
rotate,Others on the ball / CONTESTED,4284.0,0.04421463293804378,1509.3333333333333,0.35231870525988174,604.3333333333334,97.33333333333333,0.14106753812636166,0.02825704050932094,0.04584957369901783,1096.0,0.5513990267639902,1584.0,0.061447811447811446
rotate,Pass / CONTROL,38462.0,0.39696153409501395,7767.333333333333,0.20194824328774721,6258.666666666667,818.6666666666666,0.1627233806527655,0.29247187844477496,0.4751469252058316,8772.0,0.7134822921416628,29189.0,0.02804709536697614
rotate,Pass / CONTESTED,10626.0,0.10966962875808899,3578.3333333333335,0.336752619361315,1963.3333333333333,643.6666666666666,0.1847669238973587,0.09169775343312503,0.1491821555090821,3809.0,0.5154458738076485,5639.0,0.11414553407814625
rotate,Save attempt / CONTESTED,517.0,0.005335892910590251,242.66666666666666,0.46937459703417145,116.0,0.6666666666666666,0.22437137330754353,0.005422586583792623,0.008804713426624951,123.0,0.9430894308943089,280.0,0.0023809523809523807
rotate,Shot / DEAD_BALL,143.0,0.0014758852731419842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
rotate,Shot / CONTESTED,1083.0,0.011177508746942441,62.0,0.057248384118190214,0.0,6.0,0.0,0.0,0.0,343.0,0.0,21.0,0.2857142857142857
